"Disease","Fiscal Year","Gender","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease","Hospitalization with Disease: Person Count","Hospitalization with Disease: Separation Count","Hospitalization with Disease: Days Stay","Hospitalization without Disease: Person Count","Hospitalization without Disease: Separation Count","Hospitalization without Disease: Days Stay","Physician Visit with Disease: Person Count","Physician Visit with Disease: Visit Count","Physician Visit without Disease: Person Count","Physician Visit without Disease: Visit Count","General Physician Visit with Disease: Person Count","General Physician Visit with Disease: Visit Count","General Physician Visit without Disease: Person Count","General Physician Visit without Disease: Visit Count","Specialist Visit with Disease: Person Count","Specialist Visit with Disease: Visit Count","Specialist Visit without Disease: Person Count","Specialist Visit without Disease: Visit Count"
Hypertension,2004,M,25 to 29,1095120,3564,18108,42,774,1080,1710,17046,22248,28974,209826,15666,137634,518346,2470206,15078,84918,494460,1784322,8760,52656,223584,684384
Hypertension,2004,M,30 to 34,1149600,6480,36990,54,918,2094,3330,28800,24138,31194,227286,32700,292092,567114,2926710,31644,189264,541128,2099160,19134,102726,262242,825996
Hypertension,2004,M,35 to 39,1263384,11016,68430,180,1248,4026,6264,47082,28074,36594,259332,61668,566322,618132,3472242,60018,377742,590022,2459298,36624,188286,305220,1011246
Hypertension,2004,M,40 to 44,1444110,19014,126378,384,1938,8196,12324,91044,35262,46680,322044,115620,1075950,693012,4138506,112602,720102,661410,2876904,70440,355308,360492,1259946
Hypertension,2004,M,45 to 49,1345602,25308,188070,798,2640,13872,21378,147816,36684,49320,349596,174342,1683828,618906,3920532,169926,1103556,589824,2670540,109062,579612,337386,1248516
Hypertension,2004,M,50 to 54,1158042,29082,248994,1464,3192,21174,32196,223326,35118,48096,354990,234282,2374074,502236,3438264,228324,1516170,477666,2269344,153756,856872,292512,1167462
Hypertension,2004,M,55 to 59,998484,30798,305016,2664,3876,30918,47250,339456,33894,46878,349548,290424,3177228,396042,2967276,282894,1960380,376278,1896450,202680,1215720,248010,1069614
Hypertension,2004,M,60 to 64,746046,26394,294684,3966,4056,36072,55872,425532,28974,40758,321030,283788,3444132,264306,2217444,276246,2057532,251148,1381962,210336,1385322,177150,834546
Hypertension,2004,M,65 to 69,584166,22254,281748,5568,4284,42156,66624,536100,25470,36420,287136,273750,3801720,186486,1817412,267174,2227620,178158,1112874,213948,1573014,133254,703830
Hypertension,2004,M,70 to 74,501816,19104,278802,8658,5286,51240,82344,728364,24156,35970,321744,272016,4336446,140112,1608738,265872,2518122,134130,980748,222354,1816464,105456,627294
Hypertension,2004,M,75 to 79,381702,14016,232374,11664,5910,52566,85584,840966,21108,31620,324234,226836,4128270,96390,1305438,221904,2423436,92580,806496,190692,1703718,75348,498342
Hypertension,2004,M,80 to 84,246786,8520,159138,12816,5880,43026,70122,750930,16008,24138,267168,154788,3119574,58680,917004,151632,1918560,56616,598812,130434,1200066,46248,317736
Hypertension,2004,M,85+,160728,4968,98280,15000,8406,32502,51894,628110,13584,20082,253866,94146,2008602,39378,697698,92268,1361712,38184,509106,75840,646374,28860,188448
Hypertension,2005,F,20 to 24,1113342,2112,6180,18,342,792,1260,8784,80364,99678,341868,6006,81504,731286,5385234,5916,53436,716958,4006542,3972,28050,360360,1373052
Hypertension,2005,F,25 to 29,1109328,3480,19158,18,318,3042,4446,21138,129306,153108,497304,18378,246792,709800,6149466,18072,159114,693912,4222212,12360,87534,405162,1922052
Hypertension,2005,F,30 to 34,1144398,5514,36588,42,486,5154,7134,35532,135138,157086,523248,34860,456354,735864,6681492,34218,293742,717444,4377192,24018,162420,446982,2299602
Hypertension,2005,F,35 to 39,1232166,9444,62286,120,642,6402,9108,54018,84882,101484,430092,59442,735510,760458,6351096,58368,485028,741030,4239318,40530,249732,454188,2107290
Hypertension,2005,F,40 to 44,1428564,17046,118572,264,1188,9528,13824,87528,56976,71472,412152,113592,1342920,836958,6684144,111648,892140,814122,4498518,80160,449940,519732,2181660
Hypertension,2005,F,45 to 49,1371846,24726,191166,516,1758,14802,21348,137118,46956,60348,394380,184320,2171814,751566,6172830,181134,1417608,729324,4077762,134562,753114,491544,2091726
Hypertension,2005,F,50 to 54,1207704,28344,268710,1068,2058,20898,30090,212982,38160,49968,357882,260244,3102360,598482,5234910,255510,1976868,579828,3359664,198492,1124022,414270,1872630
Hypertension,2005,F,55 to 59,1055034,29046,344862,1800,2352,29142,42066,311370,32400,43074,336780,334824,4069338,454080,4153548,328422,2532210,439722,2612358,261000,1535592,323982,1539258
Hypertension,2005,F,60 to 64,795630,25212,341784,2676,2460,33516,49212,391770,24510,33444,284466,332868,4242330,284280,2754660,326442,2583324,275172,1707204,265908,1657608,209178,1045950
Hypertension,2005,F,65 to 69,635928,21918,340614,3984,2490,40392,60648,526734,19728,27096,229788,332826,4641432,190530,2011446,326706,2787552,184590,1237428,272790,1852170,144738,772392
Hypertension,2005,F,70 to 74,565944,19326,353106,6468,2940,51288,77568,714876,17796,24768,247452,345102,5271414,135366,1586052,339030,3169806,131106,980634,285522,2099760,105090,604254
Hypertension,2005,F,75 to 79,497928,15582,345942,10098,3786,61926,94578,978936,16422,22914,257676,337386,5667912,98028,1303686,331230,3484218,94944,830178,280770,2182008,76998,472692
Hypertension,2005,F,80 to 84,398052,11310,296016,14526,4566,64092,98124,1159086,13500,18942,249960,287262,5229666,67014,1017012,281904,3427050,64788,698064,235140,1801440,51330,318246
Hypertension,2005,F,85+,377580,8874,280014,31782,10752,73704,110886,1468662,15300,20910,323454,265770,5265312,61824,1094094,260364,3892962,60162,868608,199380,1370880,40782,225276
Hypertension,2005,M,20 to 24,1149702,2382,6264,12,930,498,828,8736,24654,31674,261126,5652,53784,576876,2545968,5448,31242,552096,1844412,3342,22512,236652,699414
Hypertension,2005,M,25 to 29,1110390,3876,18810,30,804,1062,1620,15138,22734,29574,250746,16326,144192,528846,2560044,15738,89268,506088,1846692,9174,54852,229128,711564
Hypertension,2005,M,30 to 34,1146654,6810,39072,84,942,2130,3258,34302,23580,30660,245034,34530,304710,566646,2939610,33498,197958,542286,2105898,20100,106446,263184,831378
Hypertension,2005,M,35 to 39,1242660,11124,70596,156,1194,3984,6108,51474,27276,35748,291456,63474,580830,612408,3460968,61824,386736,586308,2447076,38070,193710,302892,1011582
Hypertension,2005,M,40 to 44,1446480,19386,132522,426,1914,8316,12630,102444,34764,45996,399954,121068,1129686,693006,4175616,118026,747636,663804,2899926,74124,381228,361962,1273374
Hypertension,2005,M,45 to 49,1376928,25926,200166,792,2628,14166,21438,160062,36210,48714,448404,185274,1768488,633720,4026030,180684,1156188,606144,2735748,116586,611520,345948,1288026
Hypertension,2005,M,50 to 54,1198302,30198,265464,1668,3150,22140,33624,257784,35334,48330,413826,249594,2537052,517644,3559092,243450,1604388,494496,2341206,164982,931278,302622,1216290
Hypertension,2005,M,55 to 59,1044156,31920,330606,2676,3888,32628,49818,364470,34446,47472,426030,314418,3423126,410514,3102816,306618,2096154,392232,1968606,220260,1325358,257964,1132428
Hypertension,2005,M,60 to 64,777954,26718,318054,4098,3924,38430,59322,448314,28890,40338,353772,306078,3721092,268896,2276910,298356,2200320,257130,1403082,228078,1518924,181434,872586
Hypertension,2005,M,65 to 69,598278,22068,298362,5622,4134,44016,68928,560616,24492,35148,308346,289644,4020240,184824,1815840,282858,2332224,177324,1105122,228282,1686762,132726,709758
Hypertension,2005,M,70 to 74,504354,18312,290232,8640,4620,52248,83640,737646,22578,32934,297738,282906,4516260,133872,1542858,276678,2595006,128946,934698,232836,1918824,101274,606894
Hypertension,2005,M,75 to 79,392592,13758,248022,11622,5406,54816,89202,866796,19818,29664,317616,241884,4417932,93060,1275252,236880,2568762,89922,784578,204678,1847520,73176,489996
Hypertension,2005,M,80 to 84,255084,8262,169884,12864,5256,44850,73200,786942,14508,21666,249444,164976,3350808,55572,884886,161688,2044758,53856,575694,139998,1304802,44106,308178
Hypertension,2005,M,85+,173034,4968,111150,16086,7542,35484,56670,673818,12804,18894,258432,106230,2299074,38166,694242,104082,1553448,37104,503790,86376,744366,28362,190002
Hypertension,2006,F,20 to 24,1126002,1950,5898,6,324,786,1242,7584,79728,97746,307968,5724,76374,737880,5331366,5610,48774,721524,3927552,3786,27522,364044,1397436
Hypertension,2006,F,25 to 29,1135230,3222,19344,24,330,3012,4338,19938,130188,152634,453936,18408,240204,719556,6157086,18042,150954,701976,4188876,12432,89106,411558,1962540
Hypertension,2006,F,30 to 34,1143306,5208,37440,60,414,5256,7074,30444,135096,155580,472434,35544,449196,727308,6560316,34776,283362,707400,4240068,24354,165552,443778,2315172
Hypertension,2006,F,35 to 39,1231248,8760,64272,96,636,6276,8832,43968,84858,99636,354822,61092,737370,755970,6281052,59928,478764,735060,4131996,41742,257796,455262,2144478
Hypertension,2006,F,40 to 44,1407954,16230,121164,234,1128,9180,12858,74442,52956,65310,307080,115698,1333026,817680,6469992,113448,874536,793632,4307964,81684,457794,512742,2158182
Hypertension,2006,F,45 to 49,1400802,23940,198306,546,1740,14502,20442,126414,44682,56562,304416,190452,2188962,761166,6184464,186798,1416480,737058,4047738,138762,771252,500832,2132982
Hypertension,2006,F,50 to 54,1247394,27936,280578,1044,2220,20922,29670,199638,37626,48630,284802,271134,3188040,614634,5317014,265680,2010426,594144,3387456,206598,1176210,425706,1926756
Hypertension,2006,F,55 to 59,1088334,28140,359028,1896,2370,29382,42240,303444,31302,41154,264966,347592,4165248,463350,4172346,340332,2566680,448080,2605914,270276,1596738,330474,1564608
Hypertension,2006,F,60 to 64,840900,25050,365820,2790,2556,34530,50442,382830,24534,32844,233694,355458,4466322,296346,2839860,348378,2689962,286266,1742772,284022,1774572,218904,1095882
Hypertension,2006,F,65 to 69,655524,21204,357306,4110,2508,40806,60576,506652,19002,25740,208908,348696,4789194,190446,1981944,341964,2841282,184218,1204890,285528,1946082,144906,775404
Hypertension,2006,F,70 to 74,567012,18084,361482,6498,2754,50682,76224,696462,16410,22686,205638,352590,5317572,130104,1499070,346476,3156630,125820,911370,291786,2159004,101424,587022
Hypertension,2006,F,75 to 79,501954,14892,356256,10278,3588,61854,94380,978000,14916,20718,213774,346896,5739630,92946,1198260,340560,3468552,89742,745422,288582,2269098,73278,451728
Hypertension,2006,F,80 to 84,404400,10404,306852,15234,4242,64044,97692,1151670,12468,17202,206496,297096,5300208,62658,899304,291696,3393342,60516,596388,243402,1905534,48006,302250
Hypertension,2006,F,85+,399858,8310,304512,35250,10410,78084,116724,1602960,14256,19356,277602,287922,5443716,58380,944202,282150,3917040,56694,723246,215766,1524888,38790,220644
Hypertension,2006,M,20 to 24,1163502,2418,6552,18,936,444,762,5820,22560,28308,187290,5856,55458,577326,2544912,5640,31890,551028,1824258,3456,23496,239628,718320
Hypertension,2006,M,25 to 29,1131006,3780,19422,42,798,954,1536,15642,20466,25956,175062,16680,144246,529848,2551722,16080,88848,505512,1830126,9480,55278,230616,719832
Hypertension,2006,M,30 to 34,1142958,6654,40464,78,822,1992,3024,22494,21528,27426,164604,35412,309114,555546,2872998,34266,198108,530490,2041614,20418,110772,258156,829152
Hypertension,2006,M,35 to 39,1239474,11352,73872,162,1164,3930,5874,40902,24594,32028,189438,66000,584880,604482,3375672,64086,387876,577374,2373486,39408,196680,299232,999786
Hypertension,2006,M,40 to 44,1427256,19110,136746,390,1800,8112,12168,82008,31182,40836,253806,124302,1139628,673020,4026558,120978,749712,643266,2775096,76032,388914,352998,1249098
Hypertension,2006,M,45 to 49,1406700,26292,211542,888,2562,14088,21132,139134,34410,45792,289278,194910,1836054,636528,4018260,189672,1189782,607530,2707608,122478,645498,349044,1308648
Hypertension,2006,M,50 to 54,1238262,30732,281616,1680,3252,22290,33540,232188,34494,46728,308736,263676,2624388,526338,3608094,256722,1656756,501792,2353842,173610,966288,309486,1252482
Hypertension,2006,M,55 to 59,1075506,31908,349620,2880,3828,32934,49578,360162,33084,45348,301134,331536,3566298,413520,3098286,322746,2160498,394014,1953270,231858,1403730,260160,1143174
Hypertension,2006,M,60 to 64,822006,28098,347376,4452,3876,40368,61698,462060,28308,39210,282312,333366,3985500,275850,2309286,324546,2331180,263034,1409544,248466,1652310,186474,898302
Hypertension,2006,M,65 to 69,618804,22182,317280,5850,4086,45042,70128,562602,23562,33294,262896,307470,4214310,182946,1779192,299676,2413554,175260,1065708,242310,1799250,131970,712362
Hypertension,2006,M,70 to 74,509040,17562,300996,8616,4560,51780,82164,722748,20892,30240,267036,293010,4618350,128226,1452582,286626,2618862,123294,867696,241506,1996824,97482,583956
Hypertension,2006,M,75 to 79,403464,13194,263058,12288,5112,56046,90354,880416,18330,26676,258498,256248,4621158,89358,1189962,250800,2640066,86184,717306,216690,1979574,70116,471966
Hypertension,2006,M,80 to 84,264630,8088,181494,13860,5118,46350,75048,817950,13542,19854,228738,175986,3514770,52686,811590,172410,2105502,50964,515484,149442,1408296,41874,295386
Hypertension,2006,M,85+,186540,4944,124308,18444,7338,38664,61128,753738,12066,17472,245358,118314,2521512,36774,641238,115914,1662402,35736,454314,96240,858072,27432,186636
Hypertension,2007,F,20 to 24,1135200,1986,5718,12,318,774,1242,7512,80130,97446,297246,5514,73518,739008,5219598,5400,44700,721578,3822714,3690,28752,363090,1392300
Hypertension,2007,F,25 to 29,1162206,3186,19368,36,324,3072,4302,19914,134034,156342,453324,18312,235602,729654,6137700,17886,146112,710550,4133280,12324,89346,415866,1999776
Hypertension,2007,F,30 to 34,1158900,5016,38130,36,432,5496,7446,33480,137940,158052,464772,35940,450288,725238,6466878,35088,279618,704190,4134612,24768,170526,443124,2328216
Hypertension,2007,F,35 to 39,1232484,8406,65994,90,612,6462,8988,45492,85818,100350,341694,62328,738486,749658,6155424,60990,473388,727410,4003482,42342,264252,451608,2148282
Hypertension,2007,F,40 to 44,1378644,15030,121350,264,1038,9018,12756,73722,50226,61632,285384,115278,1300410,790740,6152352,112866,845154,765672,4061010,81282,454632,497724,2088726
Hypertension,2007,F,45 to 49,1424136,23172,203454,588,1794,14628,20658,130872,43758,55644,305964,194652,2199282,767208,6132630,190554,1411950,741558,3980652,141816,786102,506736,2149560
Hypertension,2007,F,50 to 54,1290162,27414,292242,1104,2142,21132,30060,199794,37350,48234,297096,281532,3237570,629472,5356872,275706,2031942,607500,3392400,214008,1204326,436686,1962426
Hypertension,2007,F,55 to 59,1102416,26358,362988,1872,2460,28944,41574,298614,30354,39510,258960,350280,4111914,464466,4101624,342810,2511210,448104,2549346,271380,1599006,330462,1550760
Hypertension,2007,F,60 to 64,904716,24420,395352,2988,2490,36264,52824,411204,25242,33564,252744,383058,4715832,317664,2986296,374814,2823180,306444,1815336,305292,1891026,234768,1170186
Hypertension,2007,F,65 to 69,682344,19926,374706,4278,2424,41610,61632,513762,18840,25386,199512,364842,4915746,193884,1984572,357594,2894154,187416,1197948,298680,2020212,147636,785598
Hypertension,2007,F,70 to 74,570252,16278,368508,6600,2586,50052,74862,697800,15528,21414,190860,358926,5327292,126750,1433496,352686,3146304,122346,861420,296628,2178648,98844,571482
Hypertension,2007,F,75 to 79,506964,13320,364896,10326,3138,61416,92514,974226,13632,18684,196314,354828,5782224,89496,1130304,348504,3469560,86400,696780,295242,2310312,70506,432516
Hypertension,2007,F,80 to 84,407634,9384,314364,15054,3828,63828,96354,1170588,11274,15534,191118,303792,5351418,58860,830526,298278,3400590,56802,546858,248664,1948926,45276,282930
Hypertension,2007,F,85+,421662,7686,328068,36996,9606,81876,121332,1723278,13308,17874,286680,308892,5798076,55740,876774,302826,4137870,54108,664374,231798,1658148,37236,212154
Hypertension,2007,M,20 to 24,1171068,2424,6768,18,966,522,876,8562,22188,27858,185592,6036,58122,571896,2483586,5802,31680,544518,1764036,3558,26286,236910,717810
Hypertension,2007,M,25 to 29,1158852,3720,19908,36,768,1050,1662,16080,20430,25932,178746,16986,148044,533580,2522454,16302,88116,507936,1795746,9726,59688,231720,725340
Hypertension,2007,M,30 to 34,1153512,6510,41526,84,774,2064,3192,28974,20844,26664,169788,35928,307578,547320,2782380,34686,194808,521244,1962756,20766,112590,254640,818124
Hypertension,2007,M,35 to 39,1241028,11106,76944,162,1116,3912,5868,40884,23892,30804,180738,68106,592746,595488,3253578,65964,387624,567450,2267616,40308,204828,294330,984162
Hypertension,2007,M,40 to 44,1397664,18426,139062,408,1674,7848,11640,77310,29598,38544,233142,125376,1117398,645222,3791646,121746,733362,614934,2592450,75990,383376,339378,1197402
Hypertension,2007,M,45 to 49,1432128,25638,220668,870,2580,14334,21750,145596,34290,45390,281454,202044,1867314,638370,3966576,196212,1201944,607920,2650650,126714,664608,351438,1314330
Hypertension,2007,M,50 to 54,1283460,30150,297300,1794,3306,22992,34368,246702,34314,46284,335688,276834,2699970,535506,3611250,269136,1686024,509364,2332218,182706,1012800,316476,1277586
Hypertension,2007,M,55 to 59,1088550,30336,358536,2976,3792,33072,49662,355716,32160,43932,300870,338280,3570372,409308,3022188,328818,2147580,389010,1886538,236454,1421340,258240,1134372
Hypertension,2007,M,60 to 64,884460,27528,380982,4614,3924,42750,64620,489918,28674,39456,275400,364458,4258308,291228,2382600,354144,2470992,276930,1440708,271254,1785318,197724,940632
Hypertension,2007,M,65 to 69,647616,21306,338844,6378,3906,46506,71922,576396,22938,32346,245568,327492,4392996,184824,1765638,318924,2492712,176736,1048608,258066,1898490,133254,716106
Hypertension,2007,M,70 to 74,513102,16128,310230,8832,4044,51588,81732,725430,19326,27522,233142,301578,4673910,124302,1381572,294990,2634966,119100,815028,248730,2036988,94410,565800
Hypertension,2007,M,75 to 79,413448,12204,276222,12486,4668,56286,90180,903276,16890,24564,245580,268608,4768230,85968,1125096,262980,2703468,82818,673014,227370,2062794,67644,451698
Hypertension,2007,M,80 to 84,272622,7362,191868,14076,4752,47454,75912,845574,12270,17796,210522,185694,3658194,50292,756996,181956,2174856,48582,476454,158166,1482372,40080,280248
Hypertension,2007,M,85+,199590,4698,136902,19290,6870,41148,64194,817500,11142,15954,209322,129684,2734602,35400,607326,127068,1786566,34362,422112,105690,946662,26568,184926
Hypertension,2008,F,20 to 24,1146222,1860,5466,12,330,756,1200,7020,78840,95514,297270,5268,70728,741756,5247894,5166,42912,723552,3808212,3552,27780,368532,1434672
Hypertension,2008,F,25 to 29,1195080,3084,19278,36,330,2994,4188,18546,134292,155832,454062,18246,234474,748200,6313584,17844,143916,728112,4226922,12522,90456,429864,2082348
Hypertension,2008,F,30 to 34,1179294,4872,38424,60,420,5472,7338,36816,139080,158874,461556,36180,459372,730368,6572328,35280,282780,708270,4159980,25254,176424,451122,2409096
Hypertension,2008,F,35 to 39,1234578,8436,67452,120,612,6480,8982,49224,85260,99462,337470,63552,756684,748458,6195348,62142,477732,726024,3995676,43776,278478,455394,2197194
Hypertension,2008,F,40 to 44,1343340,14244,119922,270,978,8880,12900,75948,48264,59100,268752,113520,1297362,767394,6025176,111090,833628,742470,3942894,80706,463134,488070,2080212
Hypertension,2008,F,45 to 49,1451202,22290,208026,564,1650,14874,21144,130788,43692,55146,291030,198726,2248542,780654,6273594,194466,1431192,754134,4048260,145182,816666,519144,2223228
Hypertension,2008,F,50 to 54,1327242,26490,300714,1080,2208,21498,30642,206676,37638,48132,288936,289356,3341922,646140,5529168,283080,2081388,624054,3492870,221070,1259520,449292,2034504
Hypertension,2008,F,55 to 59,1133100,25470,370398,1962,2436,29064,41550,302058,30564,39702,249960,356940,4194510,477708,4216032,349158,2546730,460794,2613750,276630,1646220,339300,1601004
Hypertension,2008,F,60 to 64,953208,24204,416976,3024,2520,37806,54528,415914,25656,33966,244872,403452,4957032,334614,3131256,394722,2951706,322908,1898682,321714,2003988,246102,1231764
Hypertension,2008,F,65 to 69,715122,19524,393816,4422,2442,43026,63582,534462,19140,25620,204990,383058,5160990,200580,2043006,375342,3014214,193890,1228182,314550,2145210,152718,814206
Hypertension,2008,F,70 to 74,579216,15324,377118,6678,2448,50310,75228,709398,15174,20490,206136,366996,5442450,127116,1434012,360738,3187170,122724,856938,304488,2253702,99216,576588
Hypertension,2008,F,75 to 79,510762,12246,371736,10398,2976,61206,91902,990468,13050,17742,188298,360972,5879796,86226,1088334,354672,3496608,83178,667896,301620,2381526,68172,419970
Hypertension,2008,F,80 to 84,412272,8748,321906,15468,3474,64386,97128,1195872,10668,14766,182610,310404,5492436,56154,789330,304908,3459678,54150,515376,255084,2031390,43308,273630
Hypertension,2008,F,85+,444228,7320,350844,39558,9006,86538,127818,1857966,12522,16716,264042,328860,6205728,53364,831876,322314,4410036,51798,624696,247872,1794708,35856,206934
Hypertension,2008,M,20 to 24,1179936,2364,6822,24,810,528,918,8976,21348,26736,174546,6042,59676,572916,2524242,5772,31722,544902,1779648,3720,27876,240066,743052
Hypertension,2008,M,25 to 29,1194300,3870,20622,30,732,1140,1788,17880,20286,25776,172998,17562,156252,547632,2636058,16800,91206,520842,1869936,10026,64782,239646,765060
Hypertension,2008,M,30 to 34,1171278,6306,42240,72,732,2058,3174,24132,20184,25440,154608,36510,312192,549612,2839884,35232,197064,522960,1999620,21210,115008,257730,839274
Hypertension,2008,M,35 to 39,1243374,10800,79038,168,1002,3942,5934,41358,22932,29196,176904,69684,605268,591900,3269292,67434,390432,563430,2268138,41430,214578,295668,999408
Hypertension,2008,M,40 to 44,1361100,17580,139248,408,1530,7896,11904,79494,27480,35856,225138,125040,1127766,623352,3690642,121392,730956,593922,2514936,76626,396186,331362,1174410
Hypertension,2008,M,45 to 49,1464078,25128,229440,882,2418,14646,21888,150534,33582,44160,289830,209124,1931178,646146,4052928,203004,1233186,614544,2694714,132000,697302,360072,1357014
Hypertension,2008,M,50 to 54,1325196,29796,311052,1830,3252,23712,35256,250062,34074,45540,297444,289134,2820636,549870,3715272,280812,1744824,522876,2394360,192180,1074660,326532,1319820
Hypertension,2008,M,55 to 59,1116612,29214,370482,3036,3696,33534,49998,359028,31722,42966,298488,349134,3678444,417192,3085302,339258,2197896,396882,1920108,244176,1479120,263808,1163994
Hypertension,2008,M,60 to 64,931518,27078,405984,4860,3954,44574,67236,513192,28710,39378,284868,387624,4509060,303672,2486580,376728,2604372,288936,1500042,289110,1902990,205662,985674
Hypertension,2008,M,65 to 69,680814,21084,361974,6432,3816,48894,75390,615666,22608,31512,268134,349368,4653414,189222,1789194,340464,2624382,180882,1059336,276300,2027832,136656,729348
Hypertension,2008,M,70 to 74,522492,15210,321270,8934,3840,52584,82500,753954,18318,26178,231264,311844,4820664,122922,1364220,304728,2695776,117894,801510,257766,2123262,93762,562272
Hypertension,2008,M,75 to 79,422304,11364,287202,12588,4434,57642,91392,929526,15792,22818,231654,278766,4942362,83526,1085154,272850,2779332,80334,644964,236652,2161542,66000,439896
Hypertension,2008,M,80 to 84,282954,6984,202914,15000,4332,49410,78774,908418,11682,16878,199494,196080,3862428,48948,733410,192258,2279322,47346,458424,166962,1582554,38970,274806
Hypertension,2008,M,85+,213540,4476,149802,21348,6528,44922,70242,938454,10710,15246,213948,141276,3023772,34266,587964,138330,1959900,33258,406128,116040,1063218,25890,181704
Hypertension,2009,F,20 to 24,1157064,1908,5352,6,288,750,1188,7782,77754,93564,283692,5148,69558,749160,5322216,5034,41952,730650,3846174,3558,27558,376140,1471098
Hypertension,2009,F,25 to 29,1217202,3108,18990,24,366,2946,4200,18708,134982,156258,443856,17940,237006,765594,6503886,17526,143316,744786,4336368,12474,93462,444234,2163144
Hypertension,2009,F,30 to 34,1200720,4932,38964,66,408,5628,7686,34548,140304,160092,464526,36702,472776,740352,6772632,35772,288726,718344,4265736,25908,183804,463236,2502894
Hypertension,2009,F,35 to 39,1230120,8256,68508,120,600,6948,9636,49278,85542,99528,343068,64446,775692,744918,6282336,62946,488310,722526,4023324,44874,287082,459282,2256408
Hypertension,2009,F,40 to 44,1313322,13668,118206,276,918,8610,12174,71334,47262,57894,254616,111798,1284918,750738,6002802,109308,825648,726786,3908868,80220,458616,483030,2091738
Hypertension,2009,F,45 to 49,1465596,22404,211806,624,1638,15246,21696,136992,43416,54828,290040,201852,2310030,786822,6403194,197502,1463316,759864,4114872,149232,845910,528978,2286150
Hypertension,2009,F,50 to 54,1358694,26238,307044,1116,2178,22116,31356,212730,37704,48324,283092,294738,3409002,660180,5672718,288222,2110188,637230,3569010,226182,1297848,463410,2101902
Hypertension,2009,F,55 to 59,1169298,25008,378984,1920,2322,29754,42684,313392,30840,40284,256566,364320,4276542,493440,4370136,356064,2582730,475698,2696214,283644,1692756,353376,1672662
Hypertension,2009,F,60 to 64,1001568,24252,438630,3342,2508,39312,56862,446718,26202,34374,236538,423558,5189676,351324,3286740,413940,3070488,338808,1986054,338832,2117874,259548,1299990
Hypertension,2009,F,65 to 69,746880,19104,411282,4584,2310,44574,65688,553728,19164,25632,194706,399114,5374278,207618,2133360,390846,3123816,200730,1279338,329112,2249028,158712,853650
Hypertension,2009,F,70 to 74,591384,14832,387156,6516,2394,50520,75096,689790,14394,19602,176874,376182,5556576,127896,1436952,369402,3243786,123618,856812,313128,2311752,100206,579852
Hypertension,2009,F,75 to 79,513738,11394,377052,10272,2784,60786,91560,982446,12258,16806,179616,365544,5954406,84342,1064388,358878,3532566,81408,650064,306768,2421078,66894,414102
Hypertension,2009,F,80 to 84,415698,8184,327618,15348,3348,64188,96642,1191978,9846,13464,169362,315114,5544738,54444,755370,309378,3485082,52548,491736,259908,2059266,42204,263526
Hypertension,2009,F,85+,464826,7194,372366,40824,8052,90438,133770,1937856,11622,15498,242862,347376,6563190,51240,797850,340440,4632936,49596,593088,263496,1929756,34824,204738
Hypertension,2009,M,20 to 24,1191774,2430,6888,18,732,516,834,9624,21636,27036,186276,6138,58782,584562,2630088,5886,32130,556038,1854438,3720,26538,247434,774048
Hypertension,2009,M,25 to 29,1218690,3906,21114,30,708,1218,1968,16260,20286,25734,184158,17952,159594,565458,2771580,17226,94614,537966,1963230,10320,64872,249648,807228
Hypertension,2009,M,30 to 34,1188528,6504,43536,78,720,2220,3360,27774,20496,25980,168660,37554,328824,557544,2962716,36162,205758,530172,2078778,22110,122976,265230,882894
Hypertension,2009,M,35 to 39,1236822,10698,80430,168,888,4116,6126,43092,22254,28602,175164,70674,617076,588654,3289278,68316,396258,559908,2275104,42402,220554,296568,1012578
Hypertension,2009,M,40 to 44,1327044,17004,139308,384,1314,7962,11892,82122,26064,33720,201330,124770,1124520,608004,3644616,120954,725436,579090,2476938,76848,398598,325818,1166070
Hypertension,2009,M,45 to 49,1482408,25236,236538,810,2256,15168,22500,154014,32820,43188,296592,214926,1995360,649800,4106250,208488,1268004,618090,2724180,136464,726654,365298,1380846
Hypertension,2009,M,50 to 54,1358772,29778,322692,1758,3066,24558,36624,253680,33894,45402,300678,298644,2901096,559734,3810090,289842,1794600,532110,2446002,199302,1105662,335430,1363074
Hypertension,2009,M,55 to 59,1152060,29568,384768,2976,3426,34446,51468,384072,31692,42750,314724,361140,3784668,426528,3154104,350442,2258712,404874,1958286,253794,1524792,271266,1194804
Hypertension,2009,M,60 to 64,976878,27840,431448,4842,3726,46782,70338,533040,28296,38742,273114,410472,4738950,314028,2573760,398538,2726082,298530,1544556,306552,2011332,213930,1028334
Hypertension,2009,M,65 to 69,712836,20892,384372,6720,3666,50364,77304,634548,22122,30528,236868,370176,4876914,193068,1823052,360150,2736684,184686,1076340,293016,2139240,139908,746280
Hypertension,2009,M,70 to 74,535710,15048,334212,8628,3528,53364,83070,758424,16866,23760,205338,323700,4947348,122568,1337412,316092,2764614,117600,783162,268032,2181750,93594,553956
Hypertension,2009,M,75 to 79,428910,10950,296178,12534,4032,57720,91614,945240,14484,20832,215586,287010,5041086,81138,1043790,280668,2832324,78006,618780,244578,2207982,64248,424878
Hypertension,2009,M,80 to 84,292026,6618,212826,15024,4026,50688,80532,930834,10728,15522,182046,205326,4022166,48090,707520,201132,2367510,46464,440910,175602,1654320,38274,266550
